,census_tract_number,total_population,california_county,children_10_percent,pop_11_64_years_percent,elderly_65_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_percent,zip,nearby_city,ces_3_0_score,sb_535_disadvantaged_community,ozone,pm2_5,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score
908,6037576402,5181,Los Angeles,19.3,76.5,4.2,67.1,5.9,10,0.1,15.6,1.3,90813,Long Beach,49.47,Yes,0.042,11.21,145.973,220.01,0,9028.409955,1048.49,0.1,5,0.07,4,0,43.48,5.36,114.09,6.4,11.17,50.9,24.1,69.9,13.9,36.3,89.07,9.24
909,6001402200,2385,Alameda,13.1,78.2,8.7,30.2,16.3,36.4,0.3,11.4,5.4,94607,Oakland,49.46,Yes,0.03,8.69794377,76.11,70.6,0,325.5638061,769.38,174.3,137.25,2.875,10,11.75,54.2,6.68,165.52,6.27,6.44,19.1,9.3,56.8,13.8,29.3,71.44,7.41
910,6073012502,4466,San Diego,16.1,77.6,6.3,78.7,9.6,4.5,0.3,5.2,1.7,91910,Chula Vista,49.43,Yes,0.04,11.21,14.91,267.03,0,1505.589357,1572.73,17.7,34.55,2.01,2,5.7,54.02,6.65,56.69,5.04,8.02,38.1,21,68.1,15,29.8,71.63,7.43
911,6037552602,4191,Los Angeles,13.7,74.9,11.4,49.9,8.9,5.4,0.1,33.7,1.8,90650,Norwalk,49.42,Yes,0.046,11.63,29.85,508.89,0,5410.860637,417.85,4.65,32.5,0.935,0,5,53.9,6.64,53.77,6.11,11.47,22,18.8,42.4,9.8,25,71.78,7.44
912,6037213310,3477,Los Angeles,13.6,78.3,8.1,67.1,1.5,1.2,0,29.7,0.5,90006,Los Angeles,49.41,Yes,0.048,12.89,29.76,664.07,0,3189.766094,1369.01,13.15,3,0,0,0,51.22,6.31,56.69,8.26,6.98,49,59.9,73.1,9.2,28.5,75.52,7.83
913,6065041002,3312,Riverside,17,76.9,6.1,73.1,19.5,2.8,0.3,2.6,1.7,92503,Riverside,49.41,Yes,0.062,13.31,8.346,960.39,0,3456.162662,866.14,2.6,11,0.25,3,0.5,56.08,6.91,46.56,5.26,9.67,34.2,13.9,50.5,11.2,34.1,68.98,7.15
914,6037570304,5171,Los Angeles,19.8,75.8,4.4,63.4,7.3,18.4,0.3,8.4,2.3,90805,Long Beach,49.41,Yes,0.042,11.63,29.03,220.01,0.09,5808.790646,597.82,4.2,20.25,0.075,12,1.75,51.35,6.32,87.58,4.48,10.71,36.9,11.9,58.7,14.4,33.4,75.33,7.81
915,6037551101,3926,Los Angeles,16.8,77.7,5.5,76.1,10.7,5.3,0.2,6.5,1.2,90242,Downey,49.41,Yes,0.044,12.05,23.544,639.07,0,5868.26927,654.81,13,57,0.21,3,3.45,59.9,7.38,43.7,5.37,7.88,30.9,22,55.5,12.8,20.6,64.57,6.7
916,6037432202,4252,Los Angeles,10.5,75.4,14.1,33.5,8.6,0.6,0.2,56,1.2,91770,Rosemead,49.4,Yes,0.05,11.21,21.471,900.35,2.7,5458.013367,849.57,19.5,24.6,0.2,0,2.5,64.36,7.93,38.01,7.88,6.64,24.4,24.1,46.6,8,19.4,60.1,6.23
917,6037236202,6192,Los Angeles,17.9,75.6,6.5,47.4,1.1,48.4,0.2,0.4,2.4,90008,Los Angeles,49.4,Yes,0.046,12.05,24.45,664.07,0,2152.838754,1178.51,4.5,6,0,0,0.5,47.65,5.87,91.32,9.59,7.04,34.5,16.6,69.9,14.6,39.3,81.15,8.42
918,6037404901,5658,Los Angeles,15.3,76.6,8.1,80.7,3.1,0.6,0.1,15.1,0.4,91706,Baldwin Park,49.4,Yes,0.051,11.21,23.128,861.01,0,7576.121023,1612.06,12.4,7.2,0.1,0,4.9,60.07,7.4,62.29,4.17,10.58,31.1,16.8,26.9,11.6,25.9,64.38,6.68
919,6037237500,2675,Los Angeles,17.1,76.4,6.5,74.2,1.2,23.3,0.2,0,1.1,90044,Los Angeles,49.38,Yes,0.046,12.05,26.33,664.07,0,4205.766392,846.88,1.5,2,0,0,0,43.32,5.34,115.42,9.27,12.3,51.4,24.5,73,8.5,34.6,89.25,9.26
920,6065031401,6702,Riverside,16.2,76.2,7.6,53.7,35.2,6.4,0.5,1.7,2.6,92504,Riverside,49.38,Yes,0.065,12.05,23.257,960.39,1,2783.536765,1737.94,1.7,10,0.19,0,0,60.78,7.49,63.16,4.18,9.4,18.2,10.2,57.1,14.8,22.2,63.6,6.6
921,6037232600,6288,Los Angeles,14.6,77.4,8,69.5,0.6,27.7,0.1,0.1,2,90037,Los Angeles,49.36,Yes,0.046,12.47,20.262,664.07,0,3723.573528,1095.66,6.05,0,0.255,0,2.75,52.04,6.41,62.04,6.04,7.02,40.7,16,71.2,13.1,40.7,74.25,7.7
922,6071001312,4645,San Bernardino,15,77.5,7.5,54.8,21.4,11.2,0.2,10.7,1.8,91764,Ontario,49.35,Yes,0.062,12.89,40.55,816.31,0.04,5979.780102,2250.26,2.45,0,0.16,5,0.5,64.06,7.89,68.58,5.87,10.91,20.9,7.4,41.9,7,9.5,60.31,6.25
923,6037573004,5153,Los Angeles,20.2,75.9,3.9,61.8,8.3,21.5,0.3,6.3,1.9,90806,Long Beach,49.35,Yes,0.042,11.21,29.12,220.01,0,13287.33464,934.06,0.25,18.5,0.035,11,0.2,46.93,5.78,84.87,6.21,9.45,31.9,13.5,65.8,17.4,44.7,82.31,8.54
924,6037402600,7453,Los Angeles,16.2,74.6,9.2,66.6,21.4,5.2,0.3,4.9,1.5,91767,Pomona,49.32,Yes,0.057,12.89,27.499,718.46,0,6693.499564,1478.61,19,4.6,0.01,1,2.2,61.05,7.52,80.32,4.71,9.37,30.4,16.5,46.9,6.9,18.3,63.24,6.56
925,6037433307,3421,Los Angeles,17.1,76.6,6.3,65.4,3,0.3,0.1,30.2,0.9,91732,El Monte,49.31,Yes,0.05,11.21,24.099,782.36,0,7100.960874,2521.01,30.5,11.1,0.025,1,1.25,59.44,7.32,64.11,4.14,8.17,32.5,27.8,47.4,9.8,32.9,64.94,6.74
926,6099002602,4561,Stanislaus,18.6,73.4,8,53.6,37.4,3.4,0.5,2.6,2.5,95307,Ceres,49.29,Yes,0.055,12.89,19.164,905.32,76.51,673.4413701,1164.92,1,4,0,0,2.5,57.27,7.05,45.24,3.8,11.93,34.5,11.8,58.5,28.7,25.4,67.37,6.99
927,6065042515,3803,Riverside,23.9,71.1,5,70.8,9.3,15.4,0.6,2.5,1.5,92553,Moreno Valley,49.27,Yes,0.065,12.89,15.047,747.77,0,694.218949,1868.86,0,1,0,0,0,45.04,5.55,67.8,7.49,10.18,50.1,23.7,76.2,12.9,30.7,85.63,8.88
928,6077001300,4903,San Joaquin,14.4,72,13.6,44.2,41.4,5.3,1.3,3.8,4.1,95204,Stockton,49.26,Yes,0.046,13.44,17.629,278.76,0,472.0495453,778.7,10.05,67.3,2.135,18,0,55.12,6.79,65.13,6.22,8.29,22.9,7.7,47,16.8,24.2,69.97,7.26
929,6037104704,4219,Los Angeles,18.1,75.8,6.1,76.7,5.5,13.1,0.2,3.7,0.7,91331,Pacoima,49.25,Yes,0.055,11.21,18.295,618.05,0,770.2859913,739.27,11.45,16,0.5,0,4,54.52,6.72,73.79,4.98,7.7,37.4,12.7,61.4,13.1,33.2,70.72,7.33
930,6019003900,5804,Fresno,18.7,71.8,9.5,69.1,28.1,0.3,0.4,1.5,0.7,93630,Kerman,49.25,Yes,0.06,13.73,5.624,988.48,3766.38,1216.659209,153.71,0,34,0.01,5,17.5,59.6,7.34,57.5,5.28,10.84,43.4,15.9,58.4,7,12.2,64.69,6.71
931,6077004404,3670,San Joaquin,21.2,73.5,5.3,69.2,16.9,0.6,0.2,11.5,1.7,95240,Lodi,49.24,Yes,0.048,11.33,12.098,681.99,251.72,172.5367968,611.66,5.1,31.25,0.275,0,0,51.17,6.3,48.82,6.32,9.34,43.2,17.1,73.7,13.5,22.9,75.32,7.81
932,6037224410,3140,Los Angeles,9,83.5,7.5,58.3,12.4,4.1,0,23.6,1.5,90007,Los Angeles,49.23,Yes,0.046,12.89,41.19,664.07,0,4128.881425,4306.55,0.35,5,0.2,0,0,53.68,6.61,54.5,5.24,7.99,36.7,27.2,73,11.3,34.9,71.79,7.44
933,6001409400,4306,Alameda,18.9,75.6,5.5,67.1,2.3,23.4,0.1,5.7,1.4,94603,Oakland,49.22,Yes,0.03,8.69794377,31.21,70.6,0,478.6011836,318.86,37.35,56.05,3.295,1,12.5,44.35,5.46,160.69,5.71,12.12,39.9,18.2,65.7,15.1,35.9,86.89,9.01
934,6037128210,4822,Los Angeles,16.9,79.2,3.9,79.1,11.1,4.4,0.2,3.8,1.4,91401,Van Nuys,49.18,Yes,0.055,11.21,25.49,618.05,0,987.8216452,1317.56,1.1,4,0.1,0,0,46.85,5.77,57.53,4.72,14.06,58,31,72.7,17.5,41.7,82.17,8.52
