Location,Species,Site,Net Photosynthesis,Respiration,Gross Photosynthesis,Pg:R ratio,Symbiodinaceae density,Chlorophyll concentration,Surface area
Ambitle,Acropora nana,Vents,0.724033713,-0.816827572,1.540861285,1.886397249,1058868.521,10.29770575,4.597
Ambitle,Acropora nana,Vents,1.035817012,-0.612872052,1.648689064,2.690103193,1488944.007,13.15944117,4.285
Ambitle,Acropora nana,Vents,0.956095625,-0.719541349,1.675636974,2.328757029,1155919.107,10.47699594,6.043
Ambitle,Acropora nana,Vents,0.873139267,-0.561335641,1.434474908,2.555467359,1596342.508,11.80315891,5.289
Ambitle,Pocillopora damicornis,Vents,0.916859491,-0.747842464,1.664701955,2.226006191,3790460.372,17.35837232,7.386
Ambitle,Pocillopora damicornis,Vents,0.628490713,-0.640792625,1.269283338,1.980802039,2377268.907,10.5473131,13.465
Ambitle,Pocillopora damicornis,Vents,0.743088313,-0.568706569,1.311794882,2.306628679,2192133.687,11.5910824,16.023
Ambitle,Pocillopora damicornis,Vents,1.1145924,-0.68501288,1.79960528,2.627111595,2425523.207,12.45865144,8.503
Ambitle,Pocillopora damicornis,Vents,0.94343594,-0.607572693,1.551008633,2.552795165,2506410.817,14.92050179,9.008
Ambitle,Pocillopora damicornis,Vents,0.536682588,-0.490844017,1.027526605,2.093387246,1799459.625,10.08516547,8.191
Ambitle,Pocillopora damicornis,Vents,0.84766335,-0.612059208,1.459722558,2.384936847,3008094.509,15.00698878,4.041
Ambitle,Pocillopora damicornis,Vents,0.82057022,-0.644420892,1.464991112,2.273345154,2133187.402,15.51768181,4.705
Ambitle,Pocillopora damicornis,Vents,1.636528606,-1.006689366,2.643217972,2.625654011,3670536.553,27.71438086,5.11
Ambitle,Pocillopora damicornis,Vents,1.072998529,-0.620998558,1.693997087,2.727859937,3309487.6,18.85715868,3.099
Ambitle,Pocillopora damicornis,Vents,1.039674719,-0.493865331,1.53354005,3.105178586,2102829.88,14.82989555,5.506
Ambitle,Pocillopora damicornis,Vents,1.22451827,-0.431025677,1.655543947,3.840940425,1757225.926,12.4941692,3.756
Ambitle,Pocillopora damicornis,Vents,0.560168522,-0.337044291,0.897212813,2.662002701,1528214.286,11.62464286,11.987
Ambitle,Pocillopora damicornis,Vents,1.0015015,-0.428255013,1.429756513,3.338563402,2048492.922,13.86340457,6.914
Ambitle,Pocillopora damicornis,Vents,1.52525,-0.860665295,2.385915295,2.772175559,3309487.6,23.0676715,3.07
